environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
2100353,0.057222225,0.091491416,0.12152779,0.16631879,0.05,1.5517890453338623,50.0,0.17875001,0.011548958451021463,0.0,0.21235247,0.0016147448179223043,42035
2200394,0.0325,0.10034317,0.08130952,0.15358946,0.05,1.1883835792541504,50.0,0.11380951,0.012208412500331178,0.0,0.16844393,0.002698467702228578,44071
2300430,0.14214286,0.25854126,0.21658728,0.2499923,0.05,1.6093859672546387,46.15,0.35873017,0.010696714694495313,10.326059267697431,0.349945,0.0029834054393089826,46110
2400462,0.054166667,0.15427925,0.06964286,0.13689311,0.05,1.6965025663375854,50.0,0.12380954,0.010016379208536819,0.0,0.203094,0.00012785675313052458,48138
2500469,0.18440478,0.24279584,0.07880952,0.11536666,0.05,0.7663206458091736,45.8,0.2632143,0.008864720951532946,12.615863030328129,0.31081915,0.002417826184017189,50194
2600496,0.071428575,0.1183216,0.050952386,0.10507637,0.05,1.3036105632781982,50.0,0.12238096,0.010714795751846395,0.0,0.14779636,0.0012477040084061335,52253
2700496,0.0425,0.11966098,0.079166666,0.15801504,0.05,0.9242905974388123,50.0,0.12166667,0.011033606299315579,0.0,0.21461205,0.0014810924030751699,54326
2800498,0.079166666,0.11771847,0.1,0.16890168,0.05,0.8769941926002502,48.4,0.17916667,0.011389231256907805,6.974238309665077,0.24499857,0.002522156329752538,56399
2900534,0.17166667,0.20521669,0.19111112,0.17135444,0.05,1.301660418510437,46.55,0.36277777,0.011202124858391472,10.38014932455213,0.29528758,0.0028186970697289,58510
3000560,0.20785716,0.25111666,0.19714287,0.24804863,0.05,1.7357197999954224,41.15,0.40500003,0.009706064497004263,15.479906330465958,0.4034551,0.0034643035324476985,60665
3100605,0.08900794,0.15662418,0.092777774,0.14719707,0.05,1.9857107400894165,49.8,0.1817857,0.012442562641808763,0.8717797887081347,0.27094388,0.001709647228292621,62894
3200639,0.15256314,0.21595608,0.20839648,0.25652376,0.05,1.9312783479690552,45.8,0.3609596,0.011305331139010378,9.862048468751308,0.39152122,0.0029956988717966724,65094
3300652,0.26166666,0.2653012,0.2725,0.26551968,0.05,3.2167868614196777,38.85,0.5341667,0.009032406398910097,15.492820918089771,0.4445183,0.004175363135106808,67431
3400685,0.32625002,0.297647,0.23089287,0.1988649,0.05,2.5940277576446533,37.0,0.55714285,0.00809387710178271,14.470659971127786,0.45831943,0.003347365838416668,69827
3500730,0.15373015,0.22497167,0.2443651,0.3239617,0.05,2.9958913326263428,39.45,0.39809522,0.009987012500641868,15.350814310648147,0.45635447,0.003756981186133872,72296
3600756,0.38593256,0.31044146,0.37448412,0.28478435,0.05,3.127372980117798,28.8,0.7604167,0.0064322312944568695,15.128119513012845,0.4004934,0.003332551115102376,74935
3700763,0.30751985,0.2006265,0.3948611,0.2305125,0.05,3.535599708557129,34.45,0.702381,0.007750358298653737,15.960811382884017,0.36450738,0.003828029425288581,77834
3800801,0.35873017,0.29520577,0.31805557,0.26081833,0.05,2.669323205947876,30.8,0.6767857,0.008071856142487377,15.147937153289222,0.4462821,0.004281773241251524,80929
3900829,0.34309524,0.23506905,0.39940476,0.30323523,0.05,3.1969919204711914,35.75,0.7425,0.009347829152829945,16.19529252591629,0.3210865,0.004090366437658113,84012
